name	status	bytes	endpoint
agency_by_state_NY	200	134771	/agency/byStateAbbr/NY
agency_by_state_count_NY	404	142	/agency/byStateAbbr/NY/count
estimate_national	404	142	/estimate/national?from=01-2018&to=12-2022
estimate_state_NY	404	142	/estimate/state/NY?from=01-2018&to=12-2022
estimate_regions_northeast	404	142	/estimate/regions/Northeast?from=01-2018&to=12-2022
summarized_national_violent_crime	200	4825	/summarized/national/violent-crime?from=01-2020&to=12-2022
summarized_national_homicide	200	4634	/summarized/national/homicide?from=01-2020&to=12-2022
summarized_national_rape	200	4685	/summarized/national/rape?from=01-2020&to=12-2022
summarized_national_robbery	200	4702	/summarized/national/robbery?from=01-2020&to=12-2022
summarized_national_aggravated_assault	200	4792	/summarized/national/aggravated-assault?from=01-2020&to=12-2022
summarized_national_property_crime	200	4878	/summarized/national/property-crime?from=01-2020&to=12-2022
summarized_national_burglary	200	4757	/summarized/national/burglary?from=01-2020&to=12-2022
summarized_national_larceny	200	4878	/summarized/national/larceny?from=01-2020&to=12-2022
summarized_national_motor_vehicle_theft	200	4741	/summarized/national/motor-vehicle-theft?from=01-2020&to=12-2022
summarized_national_arson	200	4631	/summarized/national/arson?from=01-2020&to=12-2022
summarized_state_NY_violent	200	7830	/summarized/state/NY/violent-crime?from=01-2020&to=12-2022
summarized_agency_violent	200	10308	/summarized/agency/NY0303000/violent-crime?from=01-2020&to=12-2022
arrest_national_all_totals	200	4935	/arrest/national/all?type=totals&from=01-2020&to=12-2022
arrest_national_all_counts	200	3663	/arrest/national/all?type=counts&from=01-2020&to=12-2022
arrest_state_NY_all	200	4607	/arrest/state/NY/all?type=totals&from=01-2020&to=12-2022
pe_national	400	40	/pe/national?from=01-2020&to=12-2022
pe_state_NY	400	40	/pe/state/NY?from=01-2020&to=12-2022
pe_agency	400	40	/pe/agency/NY0303000?from=01-2020&to=12-2022
nibrs_offense_age	404	142	/nibrs/aggravated-assault/offense/national/age?from=01-2020&to=12-2022
nibrs_victim_race	404	142	/nibrs/aggravated-assault/victim/national/race?from=01-2020&to=12-2022
nibrs_offender_sex	404	142	/nibrs/aggravated-assault/offender/national/sex?from=01-2020&to=12-2022
